法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
刑事収容施設及び被収容者等の処遇に関する法律	平成十七年法律第五十号	417AC0000000050	対応表	https://laws.e-gov.go.jp/law/417AC0000000050
刑事訴訟法	昭和二十三年法律第百三十一号	323AC0000000131	対応表	https://laws.e-gov.go.jp/law/323AC0000000131
刑法	明治四十年法律第四十五号	113DF0000000036	対応表	https://laws.e-gov.go.jp/law/113DF0000000036
少年法		323AC0000000168	対応表	https://laws.e-gov.go.jp/law/323AC0000000168
改正する法律	平成十二年法律第七十四号	412AC0000000074	法令番号から組み立て（要確認）	https://laws.e-gov.go.jp/law/412AC0000000074
沖縄の復帰に伴う特別措置に関する法律	昭和四十六年法律第百二十九号	346AC0000000129	対応表	https://laws.e-gov.go.jp/law/346AC0000000129
裁判所法		322AC0000000059	対応表	https://laws.e-gov.go.jp/law/322AC0000000059
