法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
一般職の職員の給与に関する法律	昭和二十五年法律第九十五号	325AC1000000095	対応表	https://laws.e-gov.go.jp/law/325AC1000000095
刑事訴訟法		323AC0000000131	対応表	https://laws.e-gov.go.jp/law/323AC0000000131
国家公務員等の旅費に関する法律施行令		506CO0000000306	対応表	https://laws.e-gov.go.jp/law/506CO0000000306
地方自治法	昭和二十二年法律第六十七号	322AC0000000067	対応表	https://laws.e-gov.go.jp/law/322AC0000000067
政治資金規正法		323AC1000000194	対応表	https://laws.e-gov.go.jp/law/323AC1000000194
裁判員の参加する刑事裁判に関する法律	平成十六年法律第六十三号	416AC0000000063	対応表	https://laws.e-gov.go.jp/law/416AC0000000063
