法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
労働審判法	平成十六年法律第四十五号	416AC0000000045	対応表	https://laws.e-gov.go.jp/law/416AC0000000045
民事訴訟法		408AC0000000109	対応表	https://laws.e-gov.go.jp/law/408AC0000000109
非訟事件手続法	平成二十三年法律第五十一号	423AC0000000051	対応表	https://laws.e-gov.go.jp/law/423AC0000000051
