法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
一般職の職員の給与に関する法律	昭和二十五年法律第九十五号	325AC1000000095	対応表	https://laws.e-gov.go.jp/law/325AC1000000095
会社法の施行に伴う関係法律の整備等に関する法律	平成十七年法律第八十七号	417AC0000000087	対応表	https://laws.e-gov.go.jp/law/417AC0000000087
商法		132AC0000000048	対応表	https://laws.e-gov.go.jp/law/132AC0000000048
国家公務員等の旅費に関する法律施行令		506CO0000000306	対応表	https://laws.e-gov.go.jp/law/506CO0000000306
執行官法	昭和四十一年法律第百十一号	341AC0000000111	対応表	https://laws.e-gov.go.jp/law/341AC0000000111
民事執行法	昭和五十四年法律第四号	354AC0000000004	対応表	https://laws.e-gov.go.jp/law/354AC0000000004
民事訴訟法		408AC0000000109	対応表	https://laws.e-gov.go.jp/law/408AC0000000109
特許法		334AC0000000121	対応表	https://laws.e-gov.go.jp/law/334AC0000000121
破産法	平成十六年法律第七十五号	416AC0000000075	対応表	https://laws.e-gov.go.jp/law/416AC0000000075
