法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
刑事訴訟法	昭和二十三年法律第百三十一号	323AC0000000131	対応表	https://laws.e-gov.go.jp/law/323AC0000000131
少年法		323AC0000000168	対応表	https://laws.e-gov.go.jp/law/323AC0000000168
民事訴訟法		408AC0000000109	対応表	https://laws.e-gov.go.jp/law/408AC0000000109
消去等に関する法律	令和五年法律第六十七号	505AC0000000067	法令番号から組み立て（要確認）	https://laws.e-gov.go.jp/law/505AC0000000067
行政事件訴訟法	昭和三十七年法律第百三十九号	337AC0000000139	対応表	https://laws.e-gov.go.jp/law/337AC0000000139
