法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
少年法		323AC0000000168	対応表	https://laws.e-gov.go.jp/law/323AC0000000168
株式等の振替に関する法律	平成十三年法律第七十五号	413AC0000000075	法令番号から組み立て（要確認）	https://laws.e-gov.go.jp/law/413AC0000000075
民事執行法		354AC0000000004	対応表	https://laws.e-gov.go.jp/law/354AC0000000004
沖縄の復帰に伴う特別措置に関する法律	昭和四十六年法律第百二十九号	346AC0000000129	対応表	https://laws.e-gov.go.jp/law/346AC0000000129
為を助長する行為等の防止を図るための麻薬及び向精神薬取締法等の特例等に関する法律	平成三年法律第九十四号	403AC0000000094	法令番号から組み立て（要確認）	https://laws.e-gov.go.jp/law/403AC0000000094
組織的な犯罪の処罰及び犯罪収益の規制等に関する法律	平成十一年法律第百三十六号	411AC0000000136	対応表	https://laws.e-gov.go.jp/law/411AC0000000136
電子記録債権法	平成十九年法律第百二号	419AC0000000102	対応表	https://laws.e-gov.go.jp/law/419AC0000000102
