法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
一般職の職員の給与に関する法律	昭和二十五年法律第九十五号	325AC1000000095	対応表	https://laws.e-gov.go.jp/law/325AC1000000095
少年法	昭和二十三年法律第百六十八号	323AC0000000168	対応表	https://laws.e-gov.go.jp/law/323AC0000000168
