法令名	条	見出し	リンク	原本ページ
刑事訴訟規則	第一条	この規則の解釈、運用	刑事訴訟規則.html#a1	4
刑事訴訟規則	第二条	管轄の指定、移転の請求の方式・法第十五条等	刑事訴訟規則.html#a2	5
刑事訴訟規則	第三条	管轄の指定、移転の請求の通知・法第十五条等	刑事訴訟規則.html#a3	5
刑事訴訟規則	第四条	請求書の謄本の交付、意見書の差出・法第十七条	刑事訴訟規則.html#a4	5
刑事訴訟規則	第五条	被告人の管轄移転の請求・法第十七条	刑事訴訟規則.html#a5	5
刑事訴訟規則	第六条	訴訟手続の停止・法第十五条等	刑事訴訟規則.html#a6	6
刑事訴訟規則	第七条	移送の請求の方式・法第十九条	刑事訴訟規則.html#a7	6
刑事訴訟規則	第八条	意見の聴取・法第十九条	刑事訴訟規則.html#a8	6
刑事訴訟規則	第九条	忌避の申立て・法第二十一条	刑事訴訟規則.html#a9	6
刑事訴訟規則	第十条	申立てに対する意見書・法第二十三条	刑事訴訟規則.html#a10	7
刑事訴訟規則	第十一条	訴訟手続の停止	刑事訴訟規則.html#a11	7
刑事訴訟規則	第十二条	除斥の裁判・法第二十三条	刑事訴訟規則.html#a12	7
刑事訴訟規則	第十三条	回避	刑事訴訟規則.html#a13	8
刑事訴訟規則	第十四条	除斥、回避の裁判の送達	刑事訴訟規則.html#a14	8
刑事訴訟規則	第十五条	準用規定	刑事訴訟規則.html#a15	8
刑事訴訟規則	第十六条	被疑者の特別代理人選任の請求・法第二十九条	刑事訴訟規則.html#a16	9
刑事訴訟規則	第十七条	被疑者の弁護人の選任・法第三十条	刑事訴訟規則.html#a17	9
刑事訴訟規則	第十八条	被告人の弁護人の選任の方式・法第三十条	刑事訴訟規則.html#a18	9
刑事訴訟規則	第十八条の二	追起訴された事件の弁護人の選任・法第三十条	刑事訴訟規則.html#a18-2	9
刑事訴訟規則	第十八条の三	被告人、被疑者に対する通知・法第三十一条の二	刑事訴訟規則.html#a18-3	9
刑事訴訟規則	第十九条	主任弁護人・法第三十三条	刑事訴訟規則.html#a19	10
刑事訴訟規則	第二十条	主任弁護人の指定、変更の方式・法第三十三条	刑事訴訟規則.html#a20	10
刑事訴訟規則	第二十一条	裁判長の指定する主任弁護人・法第三十三条	刑事訴訟規則.html#a21	10
刑事訴訟規則	第二十二条	主任弁護人の指定、変更の通知・法第三十三条	刑事訴訟規則.html#a22	11
刑事訴訟規則	第二十三条	副主任弁護人・法第三十三条	刑事訴訟規則.html#a23	11
刑事訴訟規則	第二十四条	主任弁護人、副主任弁護人の辞任、解任・法第三十三条	刑事訴訟規則.html#a24	11
刑事訴訟規則	第二十五条	主任弁護人、副主任弁護人の権限・法第三十四条	刑事訴訟規則.html#a25	11
刑事訴訟規則	第二十六条	被告人の弁護人の数の制限・法第三十五条	刑事訴訟規則.html#a26	12
刑事訴訟規則	第二十七条	被疑者の弁護人の数の制限・法第三十五条	刑事訴訟規則.html#a27	12
刑事訴訟規則	第二十八条	国選弁護人選任の請求・法第三十六条等	刑事訴訟規則.html#a28	13
刑事訴訟規則	第二十八条の二	国選弁護人選任の請求先裁判官・法第三十七条の二	刑事訴訟規則.html#a28-2	13
刑事訴訟規則	第二十八条の三	国選弁護人選任請求書等の提出・法第三十七条の二等	刑事訴訟規則.html#a28-3	13
刑事訴訟規則	第二十八条の四	弁護人の選任に関する処分をすべき裁判官	刑事訴訟規則.html#a28-4	14
刑事訴訟規則	第二十八条の五		刑事訴訟規則.html#a28-5	14
刑事訴訟規則	第二十九条	国選弁護人の選任・法第三十八条	刑事訴訟規則.html#a29	15
刑事訴訟規則	第二十九条の二	弁護人の解任に関する処分をすべき裁判官・法第三十八条の三	刑事訴訟規則.html#a29-2	15
刑事訴訟規則	第二十九条の三	国選弁護人の選任等の通知・法第三十八条等	刑事訴訟規則.html#a29-3	16
刑事訴訟規則	第三十条	裁判所における接見等・法第三十九条	刑事訴訟規則.html#a30	16
刑事訴訟規則	第三十一条	弁護人の書類の閲覧等・法第四十条	刑事訴訟規則.html#a31	16
刑事訴訟規則	第三十二条	補佐人の届出の方式・法第四十二条	刑事訴訟規則.html#a32	16
刑事訴訟規則	第三十三条	決定、命令の手続・法第四十三条	刑事訴訟規則.html#a33	16
刑事訴訟規則	第三十四条	裁判の告知	刑事訴訟規則.html#a34	17
刑事訴訟規則	第三十四条の二		刑事訴訟規則.html#a34-2	17
刑事訴訟規則	第三十四条の三	処置をとるべきことの請求	刑事訴訟規則.html#a34-3	20
刑事訴訟規則	第三十五条	裁判の宣告	刑事訴訟規則.html#a35	21
刑事訴訟規則	第三十六条	謄本、抄本の送付	刑事訴訟規則.html#a36	21
刑事訴訟規則	第三十七条	訴訟書類の作成者	刑事訴訟規則.html#a37	22
刑事訴訟規則	第三十八条	証人等の尋問調書	刑事訴訟規則.html#a38	22
刑事訴訟規則	第三十九条	被告人、被疑者の陳述の調書	刑事訴訟規則.html#a39	23
刑事訴訟規則	第四十条	速記、録音	刑事訴訟規則.html#a40	24
刑事訴訟規則	第四十一条	検証、押収等の調書	刑事訴訟規則.html#a41	24
刑事訴訟規則	第四十二条	調書の記載要件	刑事訴訟規則.html#a42	25
刑事訴訟規則	第四十三条	差押状等の執行調書、捜索調書	刑事訴訟規則.html#a43	25
刑事訴訟規則	第四十四条	公判調書の記載要件・法第四十八条	刑事訴訟規則.html#a44	25
刑事訴訟規則	第四十四条の二	公判調書の供述の記載の簡易化・法第四十八条	刑事訴訟規則.html#a44-2	28
刑事訴訟規則	第四十五条	公判調書の作成の手続・法第四十八条	刑事訴訟規則.html#a45	29
刑事訴訟規則	第四十六条	公判調書の署名押印、認印・法第四十八条	刑事訴訟規則.html#a46	29
刑事訴訟規則	第四十七条	公判廷の速記、録音	刑事訴訟規則.html#a47	30
刑事訴訟規則	第四十八条	異議の申立の記載・法第五十条等	刑事訴訟規則.html#a48	30
刑事訴訟規則	第四十九条	調書への引用	刑事訴訟規則.html#a49	30
刑事訴訟規則	第四十九条の二	調書の記載事項別編てつ	刑事訴訟規則.html#a49-2	30
刑事訴訟規則	第五十条	被告人の公判調書の閲覧・法第四十九条	刑事訴訟規則.html#a50	31
刑事訴訟規則	第五十一条	証人の供述の要旨等の告知・法第五十条	刑事訴訟規則.html#a51	31
刑事訴訟規則	第五十二条	公判調書の整理・法第四十八条等	刑事訴訟規則.html#a52	31
刑事訴訟規則	第五十二条の二	公判準備における証人等の尋問調書	刑事訴訟規則.html#a52-2	31
刑事訴訟規則	第五十二条の三	速記録の作成	刑事訴訟規則.html#a52-3	32
刑事訴訟規則	第五十二条の四	証人の尋問調書等における速記録の引用	刑事訴訟規則.html#a52-4	33
