法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
民事訴訟法		408AC0000000109	対応表	https://laws.e-gov.go.jp/law/408AC0000000109
特許法	昭和三十四年法律第百二十一号	334AC0000000121	対応表	https://laws.e-gov.go.jp/law/334AC0000000121
