法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
刑事訴訟法		323AC0000000131	対応表	https://laws.e-gov.go.jp/law/323AC0000000131
犯罪捜査のための通信傍受に関する法律	平成十一年法律第百三十七号	411AC0000000137	対応表	https://laws.e-gov.go.jp/law/411AC0000000137
