法令名	条	見出し	リンク	原本ページ
国際捜査共助規則	第一条	令状の発付等の手続についての刑事訴訟規則の準用	国際捜査共助規則.html#a1	1
国際捜査共助規則	第二条	訳文の添付	国際捜査共助規則.html#a2	1
