法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
会社更生法		414AC0000000154	対応表	https://laws.e-gov.go.jp/law/414AC0000000154
保険業法	平成七年法律第百五号	407AC0000000105	対応表	https://laws.e-gov.go.jp/law/407AC0000000105
民事再生法		411AC0000000225	対応表	https://laws.e-gov.go.jp/law/411AC0000000225
破産法		416AC0000000075	対応表	https://laws.e-gov.go.jp/law/416AC0000000075
金融商品取引法	昭和二十三年法律第二十五号	323AC0000000025	対応表	https://laws.e-gov.go.jp/law/323AC0000000025
金融機関等の更生手続の特例等に関する法律	平成八年法律第九十五号	408AC0000000095	対応表	https://laws.e-gov.go.jp/law/408AC0000000095
